Date,Open,High,Low,Close,Adj Close,Volume
3/29/2023,1966.1,1966.1,1966.1,1966.1,1966.1,21
3/28/2023,1972.4,1972.4,1972.4,1972.4,1972.4,21
3/27/2023,1957.2,1957.2,1952.4,1952.4,1952.4,877
3/24/2023,1991.7,1995.4,1982.1,1982.1,1982.1,19
3/23/2023,1990.5,1994.6,1990.5,1993.8,1993.8,33
3/22/2023,1946.8,1974,1946.8,1946.8,1946.8,50
3/21/2023,1973.8,1973.8,1938,1938,1938,47
3/20/2023,1988.3,2003.9,1968.9,1979.2,1979.2,389
3/17/2023,1946,1985.1,1946,1969.8,1969.8,82
3/16/2023,1909.9,1931.7,1909.9,1919,1919,394
3/15/2023,1903.9,1926.6,1898.5,1926.6,1926.6,564
3/14/2023,1912.2,1912.2,1901.1,1906.2,1906.2,107
3/13/2023,1890.8,1913.1,1875.1,1911.7,1911.7,503
03-10-2023,1852.3,1868.5,1852,1862,1862,248
03-09-2023,1816.4,1829.3,1815.6,1829.3,1829.3,332
03-08-2023,1811.6,1812.9,1811.5,1812.7,1812.7,75
03-07-2023,1840.9,1840.9,1813.9,1813.9,1813.9,450
03-06-2023,1853.3,1853.8,1844.2,1847.9,1847.9,5
03-03-2023,1837.3,1855.4,1837.3,1847.7,1847.7,61
03-02-2023,1830,1836.3,1830,1833.5,1833.5,154
03-01-2023,1827.1,1841.7,1827.1,1837.7,1837.7,211
2/28/2023,1808.1,1830,1808.1,1828.9,1828.9,618
2/27/2023,1811.6,1817.5,1808.9,1817,1817,829
2/24/2023,1808.8,1808.8,1808.8,1808.8,1808.8,404
2/23/2023,1826.4,1827.5,1818,1818,1818,291
2/22/2023,1835.7,1836.2,1825.1,1832,1832,278
2/21/2023,1842.6,1843,1833,1833,1833,862
2/17/2023,1827.4,1842.2,1818.4,1840.4,1840.4,35
2/16/2023,1838.6,1843.7,1827.2,1842,1842,222
2/15/2023,1842,1842,1828.2,1834.2,1834.2,368
2/14/2023,1854.1,1862,1846.2,1854,1854,656
2/13/2023,1859,1861,1850,1851.9,1851.9,569
02-10-2023,1861.6,1863.5,1852.4,1862.8,1862.8,27
02-09-2023,1875.3,1884.6,1859.8,1866.2,1866.2,223
02-08-2023,1872.1,1880.4,1872.1,1877.4,1877.4,230
02-07-2023,1870,1875.7,1868,1871.7,1871.7,297
02-06-2023,1865.6,1880,1863.4,1866.2,1866.2,424
02-03-2023,1912.4,1917,1861.5,1862.9,1862.9,992
02-02-2023,1952.3,1959.1,1911.3,1916.3,1916.3,748
02-01-2023,1927.2,1955,1922,1927.8,1927.8,2290
1/31/2023,1923,1930.4,1900.6,1929.5,1929.5,1910
1/30/2023,1928.3,1933.6,1920.3,1922.9,1922.9,27220
1/27/2023,1928.6,1928.6,1928.6,1928.6,1928.6,150902
1/26/2023,1936.6,1937.1,1927.1,1929.1,1929.1,131
1/25/2023,1941.2,1941.2,1939.8,1941.2,1941.2,7
1/24/2023,1931.8,1936.8,1931.8,1933.9,1933.9,201
1/23/2023,1926.5,1927.1,1915,1927.1,1927.1,218
1/20/2023,1922.1,1928.5,1921.4,1926.4,1926.4,1346
1/19/2023,1922.1,1931.8,1922.1,1922.1,1922.1,371
1/18/2023,1911.1,1911.1,1903.1,1904.4,1904.4,1027
1/17/2023,1920.1,1920.1,1905.2,1907.2,1907.2,706
1/16/2023,1920.1,1920.1,1912.4,1912.4,1912.4,512
1/13/2023,1899,1920.9,1898.3,1918.4,1918.4,512
01-12-2023,1877.2,1897.4,1877.2,1895.5,1895.5,59
01-11-2023,1873.1,1877.8,1873.1,1874.6,1874.6,1236
01-10-2023,1877.8,1878.1,1871.6,1871.6,1871.6,101
01-09-2023,1867,1880,1867,1872.7,1872.7,62
01-06-2023,1838.4,1868.2,1835.3,1864.2,1864.2,26
01-05-2023,1855.2,1855.2,1834.8,1834.8,1834.8,24
